Log Analysis Report - 2026-06-17
Log File: access.log
Total Lines Processed: 100
Total ERROR and FAILED Log Count: 23

Top 5 Error Messages:
      6 [ERROR] Failed to connect -
      5 [ERROR] Out of memory -
      1 [ERROR] Segmentation fault - 645
      1 [ERROR] Segmentation fault - 25453
      1 [ERROR] Invalid input - 9706

Critical Events:
1:2026-06-17 13:03:37 [CRITICAL]  - 14629
6:2026-06-17 13:03:37 [CRITICAL]  - 28516
7:2026-06-17 13:03:37 [CRITICAL]  - 21637
9:2026-06-17 13:03:37 [CRITICAL]  - 5272
11:2026-06-17 13:03:37 [CRITICAL]  - 4532
12:2026-06-17 13:03:37 [CRITICAL]  - 22706
13:2026-06-17 13:03:37 [CRITICAL]  - 6115
20:2026-06-17 13:03:37 [CRITICAL]  - 6364
24:2026-06-17 13:03:37 [CRITICAL]  - 20866
26:2026-06-17 13:03:37 [CRITICAL]  - 11378
29:2026-06-17 13:03:37 [CRITICAL]  - 9882
30:2026-06-17 13:03:37 [CRITICAL]  - 24597
38:2026-06-17 13:03:37 [CRITICAL]  - 30274
44:2026-06-17 13:03:37 [CRITICAL]  - 21924
53:2026-06-17 13:03:37 [CRITICAL]  - 16424
54:2026-06-17 13:03:37 [CRITICAL]  - 16502
60:2026-06-17 13:03:37 [CRITICAL]  - 13698
61:2026-06-17 13:03:37 [CRITICAL]  - 13404
64:2026-06-17 13:03:37 [CRITICAL]  - 5908
68:2026-06-17 13:03:37 [CRITICAL]  - 11345
72:2026-06-17 13:03:37 [CRITICAL]  - 13336
75:2026-06-17 13:03:37 [CRITICAL]  - 22995
81:2026-06-17 13:03:37 [CRITICAL]  - 23562
83:2026-06-17 13:03:37 [CRITICAL]  - 24025
95:2026-06-17 13:03:37 [CRITICAL]  - 29508
100:2026-06-17 13:03:37 [CRITICAL]  - 31591
